w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.05,0.1,29.0211,1.28371,2.40362,11.5738
0.05,0.158,35.0154664537624,1.27841448673388,3.57579833469625,11.573495151651
0.05,0.216,40.2149451625874,1.27475476234906,5.12164036759942,11.5730954494298
0.05,0.274,44.8633128685735,1.27213515425299,6.9159095094778,11.5726353620671
0.05,0.332,49.1193964017431,1.27013702006481,8.8420005224261,11.572146982686
0.05,0.39,53.047928566337,1.26854179924774,10.8055445078889,11.5716562843124
0.05,0.448,56.6858376326872,1.26723184176477,12.7389713094397,11.571181864169
0.05,0.506,60.0675255417751,1.26613623975546,14.5997056903084,11.5707354401396
0.05,0.564,63.2285365821725,1.26520723595563,16.365247941469,11.5703232047296
0.05,0.622,66.203282331629,1.26441014338564,18.027572195916,11.5699473668124
0.05,0.68,69.0226433522354,1.26371870562323,19.5881674175843,11.5696075164944
0.05,0.738,71.7127461478182,1.26311264423254,21.0542005215853,11.5693016811358
0.05,0.796,74.2947649523529,1.26257614666873,22.4358034655086,11.5690270720221
0.05,0.854,76.7853319605911,1.26209681782187,23.7442860959014,11.568780576241
0.05,0.912,79.1972180000923,1.26166490303771,24.9910342444126,11.5685590599581
0.05,0.97,81.5400741760797,1.2612726947749,26.1868805017633,11.5683595415988
0.05,1.028,83.8211247343514,1.26091407453111,27.3417839624731,11.5681792799913
0.05,1.086,86.0457640763018,1.26058415827223,28.4647024887867,11.5680158095237
0.05,1.144,88.2180458377599,1.26027902207098,29.5635789514882,11.5678669439307
0.05,1.202,90.3410694630689,1.25999549002317,30.6453905747083,11.5677307627126
0.05,1.26,92.4172772043617,1.25973097043333,31.7162295775768,11.5676055889401
0.05,1.318,94.4486766181918,1.25948332931984,32.7813959338668,11.5674899637248
0.05,1.376,96.4370031285609,1.25925079271225,33.845491185661,11.5673826203981
0.05,1.434,98.3838355719923,1.25903187112939,34.9125073261609,11.5672824600487
0.05,1.492,100.290675622416,1.25882530113005,35.9859078626568,11.5671885292113
0.05,1.55,102.159,1.25863,37.0687,11.5671
0.05,1.608,103.990292572245,1.25844503054751,38.1634979211548,11.5670161526912
0.05,1.666,105.786061918593,1.25826957368009,39.2725776907231,11.5669363606129
0.05,1.724,107.547848655899,1.2581029069751,40.3979245643849,11.5668600771236
0.05,1.782,109.27722578995,1.25794438787138,41.5412735739305,11.5667868244423
0.05,1.84,110.975794536154,1.25779344042751,42.7041442492314,11.5667161840917
0.05,1.898,112.645177407046,1.25764954483638,43.8878702807908,11.5666477887345
0.05,1.956,114.287009863926,1.25751222907382,45.0936248465674,11.5665813152023
0.05,2.014,115.902931446669,1.25738106220222,46.322442240219,11.5665164785436
0.05,2.072,117.494577005911,1.25725564896106,47.5752363533808,11.5664530269361
0.05,2.13,119.06356844537,1.2571356253608,48.8528164864383,11.5663907373359
0.05,2.188,120.61150722287,1.25702065506174,50.1559008923703,11.5663294117491
0.05,2.246,122.139967743623,1.25691042636948,51.4851283970506,11.5662688740342
0.05,2.304,123.650491697932,1.25680464971692,52.8410683866051,11.5662089671527
0.05,2.362,125.144583339523,1.25670305553249,54.2242294073047,11.5661495508028
0.05,2.42,126.623705663781,1.25660539241667,55.6350665851826,11.5660904993768
0.05,2.478,128.089277422108,1.25651142556654,57.0739880402089,11.5660317001958
0.05,2.536,129.542670895775,1.25642093540147,58.5413604425985,11.5659730519807
0.05,2.594,130.985210346902,1.25633371635323,60.0375138359148,11.5659144635246
0.05,2.652,132.418171063505,1.25624957579205,61.5627458323748,11.5658558525381
0.05,2.71,133.842778918168,1.25616833306583,63.1173252696012,11.5657971446426
0.05,2.768,135.260210364595,1.25608981863498,64.7014954044846,11.5657382724921
0.05,2.826,136.671592802324,1.25601387328847,66.3154767084123,11.5656791750027
0.05,2.884,138.07800524642,1.25594034742998,67.959469318519,11.5656197966788
0.05,2.942,139.480479245745,1.25586910042477,69.6336551915366,11.5655600870203
0.05,3,140.88,1.2558,71.3382,11.5655
0.0510480331153023,0.1,28.5750855274171,1.28037270597557,2.40611222810268,11.5979835297427
0.0510480331153023,0.158,34.4922555903155,1.2751341097783,3.57312127562712,11.5976812198972
0.0510480331153023,0.216,39.6242588548086,1.27151993311446,5.11319558502817,11.5972845666426
0.0510480331153023,0.274,44.2137988618491,1.26893312738589,6.90224458376036,11.5968275957084
0.0510480331153023,0.332,48.4157941249288,1.26695957080764,8.82445571067616,11.5963420629767
0.0510480331153023,0.39,52.2932798620726,1.26538395388689,10.7858231208163,11.5958537448979
