freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_mean,sa_std,hot_mean,hot_std,cold_mean,cold_std
600000000.0,-0.4657506030099254,-0.1879420348108209,-0.007410178892238923,0.007458582652931615,0.0033569651871372917,0.015171266442935542,3.6460218861e-14,4.187035549936266e-17,3.310384412e-11,5.210119693463828e-14,1.0603344831999998e-11,1.3345552896592692e-14
602000000.0,-0.4639726264266498,-0.1776912102423456,-0.007359071703331499,0.0074438663855887575,0.0034619974132041277,0.014100974510650678,3.634566911e-14,4.583880787894149e-17,3.3648089406e-11,6.157583023824776e-14,1.0735245954e-11,8.779458628957476e-15
604000000.0,-0.46259367595477985,-0.1673715611531502,-0.007316915749966842,0.007433605201494363,0.0034296579942839148,0.013062196172251708,3.6645232699e-14,4.8543445081896363e-17,3.3940251573e-11,3.3912265519191695e-14,1.0837115807e-11,9.311645830594983e-15
606000000.0,-0.45982467137126204,-0.15710624688706704,-0.007270427974505918,0.0074179401355234246,0.00327350378050207,0.012041970405543745,3.6509386157000004e-14,3.6682350201233956e-17,3.4208511448e-11,4.226473876855651e-14,1.0943657815000001e-11,1.1378238573312329e-14
608000000.0,-0.458005719277561,-0.1471523705885444,-0.007226334350566251,0.007407802435053181,0.002987658726897492,0.011085168627886353,3.6592037838e-14,6.899927845376195e-17,3.451023386200001e-11,6.801148959422575e-14,1.1022696535999999e-11,1.2251799361939209e-14
610000000.0,-0.45491277811364444,-0.137186786376797,-0.007182315360604142,0.007394211769778331,0.0025915643538033505,0.01018167177330809,3.6822683302999995e-14,3.6644408946537167e-17,3.4919819746e-11,5.599627743601947e-14,1.107863722e-11,1.4872543149122056e-14
612000000.0,-0.4527066571122936,-0.1272345861307262,-0.007134720194676314,0.0073796902697925775,0.002087570170299381,0.009364741849797917,3.6620533854e-14,4.952362399509665e-17,3.505391351300001e-11,7.503606271853155e-14,1.1197611299e-11,1.575018795530221e-14
614000000.0,-0.44924721274547846,-0.1175981254419048,-0.0070897673215834485,0.007365886374043258,0.0014878111845479027,0.008638982396247797,3.7005353925999996e-14,4.234223302946185e-17,3.5489919346000005e-11,6.522213661743566e-14,1.1269539358999999e-11,1.0443689198734638e-14
616000000.0,-0.4462589477556604,-0.10814048956703098,-0.007046303226261555,0.0073487284520442064,0.0008075806478979131,0.008021194352164739,3.6760771271999997e-14,4.831053057018331e-17,3.5725752391e-11,4.10571522783548e-14,1.1348518513999999e-11,2.1118783067753516e-14
618000000.0,-0.4427106780240998,-0.09780042218304555,-0.007002032775304287,0.007329556956264436,5.3690729115208804e-05,0.007510546739826878,3.6980464877e-14,4.777605169359764e-17,3.591521937e-11,5.487261327795161e-14,1.1430343939e-11,1.2636731003924618e-14
620000000.0,-0.4390707977814246,-0.08883081815457514,-0.006957065272167832,0.007315301128168125,-0.0007479040474674804,0.007126283632038936,3.7139150795e-14,7.025318764209845e-17,3.6207334182999993e-11,6.733318793873378e-14,1.1507671359000002e-11,8.273598912157129e-15
622000000.0,-0.4350163647851696,-0.07918991986869307,-0.006911381542567978,0.007302050600175081,-0.0015855904632837542,0.006873047356918398,3.7055389929000006e-14,4.855292797296918e-17,3.651362759799999e-11,4.833221130354093e-14,1.1599996132999999e-11,1.709461218422619e-14
624000000.0,-0.431212961642669,-0.06977205897325624,-0.006870546255432186,0.007286743154730514,-0.0024503420658294477,0.006752876187441637,3.7331263043000003e-14,3.9007024298232227e-17,3.6955631373999994e-11,5.523900121915678e-14,1.1700777092e-11,1.0702310349233016e-14
626000000.0,-0.42693335998942716,-0.060938227209506785,-0.006827970893827134,0.007262952988550615,-0.003315145857650543,0.006760494880894868,3.7030510232e-14,5.626086509749945e-17,3.7147167974999994e-11,4.9399293393926e-14,1.1799978022000002e-11,1.9955588893073413e-14
628000000.0,-0.4230285061295735,-0.05181726402154192,-0.006788148221992822,0.007242152919522747,-0.004166412141984821,0.006903212163432853,3.7205488999e-14,3.141602292964421e-17,3.7318815183000005e-11,5.0880172303810947e-14,1.1879714236e-11,9.214044676901462e-15
630000000.0,-0.4184924577056418,-0.0426610831552185,-0.006733149008300333,0.007225245764346896,-0.0049742013366002895,0.007183744751819397,3.738592896e-14,4.464679705249017e-17,3.7698242822e-11,4.241625824492449e-14,1.1921383578e-11,2.3339708652627306e-14
632000000.0,-0.41326396556712786,-0.03410414441133759,-0.0066887693086713305,0.007210071696401655,-0.005746569615853947,0.007585979854900457,3.7247375865e-14,3.511125045891649e-17,3.7910728447000004e-11,3.9560343440487124e-14,1.2043832106000001e-11,1.4088101602775067e-14
634000000.0,-0.4082764088834725,-0.025386550539776655,-0.006647777926448946,0.007189393173267672,-0.00644588619169088,0.008111325017842421,3.763463288299999e-14,3.376417988667322e-17,3.8210317602999996e-11,4.427026940090536e-14,1.2128071907999998e-11,1.3524846744756297e-14
636000000.0,-0.4038467222882103,-0.016673844911717823,-0.006601100740768518,0.00716210991245018,-0.007062699984848633,0.00873775826062485,3.7423941053e-14,5.6776888236147e-17,3.8430316772999996e-11,6.386511776581156e-14,1.2206030914000002e-11,1.2293296381735354e-14
638000000.0,-0.3981131053303428,-0.008727039733201053,-0.0065625739429252235,0.007142938364627008,-0.007585506744483474,0.009474266910309401,3.7554550162e-14,5.321493918905238e-17,3.87686096e-11,5.0299979057403826e-14,1.2258328998e-11,1.56510007515726e-14
