freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_mean,sa_std,hot_mean,hot_std,cold_mean,cold_std
600000000.0,-0.3744096385910861,-0.11328733284938165,-0.007410178892238923,0.007458582652931615,0.0033569651871372917,0.015171266442935542,3.6460218861e-14,4.187035549936266e-17,1.2056028123e-10,1.4375854644335342e-13,3.8391270883e-11,5.202413626843501e-14
602000000.0,-0.37392679636345705,-0.10275777042357198,-0.007359071703331499,0.0074438663855887575,0.0034619974132041277,0.014100974510650678,3.634566911e-14,4.583880787894149e-17,1.229693471e-10,1.1633872898470388e-13,3.8900002494e-11,7.569130708044353e-14
604000000.0,-0.3738064095550046,-0.09112763607554701,-0.007316915749966842,0.007433605201494363,0.0034296579942839148,0.013062196172251708,3.6645232699e-14,4.8543445081896363e-17,1.2420590995999998e-10,1.0780579195369382e-13,3.9105865501e-11,6.270818643258661e-14
606000000.0,-0.37317898671371513,-0.0806212961470189,-0.007270427974505918,0.0074179401355234246,0.00327350378050207,0.012041970405543745,3.6509386157000004e-14,3.6682350201233956e-17,1.2532852745e-10,1.4875663988527874e-13,3.9485485428e-11,3.726071595885534e-14
608000000.0,-0.3728411546782804,-0.07005332527874186,-0.007226334350566251,0.007407802435053181,0.002987658726897492,0.011085168627886353,3.6592037838e-14,6.899927845376195e-17,1.2664520115000001e-10,7.906952766346195e-14,3.9828941110999996e-11,5.0193380768039467e-14
610000000.0,-0.37133535426628883,-0.0595939557993606,-0.007182315360604142,0.007394211769778331,0.0025915643538033505,0.01018167177330809,3.6822683302999995e-14,3.6644408946537167e-17,1.2804984375999998e-10,2.1286803943119684e-13,4.0233895495000006e-11,4.0860866783945605e-14
612000000.0,-0.36954332682567914,-0.04811184829129968,-0.007134720194676314,0.0073796902697925775,0.002087570170299381,0.009364741849797917,3.6620533854e-14,4.952362399509665e-17,1.2895892427e-10,1.2917937068298102e-13,4.046530052799999e-11,4.504374912156786e-14
614000000.0,-0.3679254591302892,-0.037323004288793954,-0.0070897673215834485,0.007365886374043258,0.0014878111845479027,0.008638982396247797,3.7005353925999996e-14,4.234223302946185e-17,1.3019695285000002e-10,9.722505614890853e-14,4.0863115071e-11,5.067413995449386e-14
616000000.0,-0.36600803456832337,-0.026811863335362594,-0.007046303226261555,0.0073487284520442064,0.0008075806478979131,0.008021194352164739,3.6760771271999997e-14,4.831053057018331e-17,1.3149228913000001e-10,1.739846034450548e-13,4.1098036623000005e-11,4.597121525676802e-14
618000000.0,-0.36315285395196084,-0.01706067971453806,-0.007002032775304287,0.007329556956264436,5.3690729115208804e-05,0.007510546739826878,3.6980464877e-14,4.777605169359764e-17,1.3251720704e-10,2.317274292961774e-13,4.1413950339e-11,7.943994448476083e-14
620000000.0,-0.3598981911719373,-0.006488832524787839,-0.006957065272167832,0.007315301128168125,-0.0007479040474674804,0.007126283632038936,3.7139150795e-14,7.025318764209845e-17,1.3380377350000002e-10,1.705097070170813e-13,4.1539468471000004e-11,5.562719818262104e-14
622000000.0,-0.3562218215183226,0.0035766517663429545,-0.006911381542567978,0.007302050600175081,-0.0015855904632837542,0.006873047356918398,3.7055389929000006e-14,4.855292797296918e-17,1.3483043858999998e-10,1.5298140563820146e-13,4.2004837845999997e-11,8.20441827142927e-14
624000000.0,-0.35343198487578964,0.013591819486645248,-0.006870546255432186,0.007286743154730514,-0.0024503420658294477,0.006752876187441637,3.7331263043000003e-14,3.9007024298232227e-17,1.3606406598e-10,1.6552257935132569e-13,4.2307563586e-11,4.058782843115643e-14
626000000.0,-0.34903718709894904,0.023884385345994196,-0.006827970893827134,0.007262952988550615,-0.003315145857650543,0.006760494880894868,3.7030510232e-14,5.626086509749945e-17,1.3695400637e-10,1.463828433119449e-13,4.2598786120999997e-11,4.7479725566578496e-14
628000000.0,-0.34596551974542145,0.0336194997467668,-0.006788148221992822,0.007242152919522747,-0.004166412141984821,0.006903212163432853,3.7205488999e-14,3.141602292964421e-17,1.3825389137e-10,1.763049637953064e-13,4.2950129769e-11,6.837214453122441e-14
630000000.0,-0.3413370147642351,0.04364211512838525,-0.006733149008300333,0.007225245764346896,-0.0049742013366002895,0.007183744751819397,3.738592896e-14,4.464679705249017e-17,1.3933022214e-10,1.4528253930326473e-13,4.3367082155e-11,4.158505646423865e-14
632000000.0,-0.336355090705136,0.05209258042891791,-0.0066887693086713305,0.007210071696401655,-0.005746569615853947,0.007585979854900457,3.7247375865e-14,3.511125045891649e-17,1.4019496781e-10,1.8802583665269203e-13,4.3440575945e-11,6.555587906342364e-14
634000000.0,-0.33195096408842656,0.06049187193058862,-0.006647777926448946,0.007189393173267672,-0.00644588619169088,0.008111325017842421,3.763463288299999e-14,3.376417988667322e-17,1.4117547652e-10,1.7655173140025443e-13,4.3803684900999995e-11,7.71554968729915e-14
636000000.0,-0.32646374257465466,0.0706208789275121,-0.006601100740768518,0.00716210991245018,-0.007062699984848633,0.00873775826062485,3.7423941053e-14,5.6776888236147e-17,1.4232258254999997e-10,1.475333900849158e-13,4.4089951576999995e-11,5.735613853918716e-14
638000000.0,-0.32215279646613076,0.07865737045620776,-0.0065625739429252235,0.007142938364627008,-0.007585506744483474,0.009474266910309401,3.7554550162e-14,5.321493918905238e-17,1.4294929511e-10,2.418632606079933e-13,4.4318493360999996e-11,5.1766818726560314e-14
