f,t,e
0.6,24.777379894593274,0.9404779960067592
0.602,24.664004525790755,0.9376423507720381
0.604,24.544514717817602,0.9333395364970518
0.606,24.42012381348361,0.9311762340510136
0.608,24.302044262624698,0.9279390358602626
0.61,24.178716743060864,0.9248869649869197
0.612,24.053166183419503,0.9202115477692426
0.614,23.93029808258835,0.9160082824433597
0.616,23.80518502919502,0.9131579833995483
0.618,23.683838853870153,0.9091813953292154
0.62,23.561412791729573,0.9040865585468808
0.622,23.44188896212451,0.901184934636527
0.624,23.31758720181258,0.8975695739385152
0.626,23.19324426661106,0.8936845045218459
0.628,23.074669688514476,0.8893737760648726
0.63,22.94951502360716,0.8865797854844408
0.632,22.820986978524353,0.8834092261380139
0.634,22.69507306018537,0.8797496234721475
0.636,22.57351484654277,0.8767574635996478
0.638,22.45044666022994,0.8731900720883832
0.64,22.33153859501836,0.8697659698854191
0.642,22.21488206770816,0.8670129332483445
0.644,22.113021246687886,0.8631992689128489
0.646,22.02402419440319,0.8604450087079137
0.648,21.93988961021951,0.8564251882012087
0.65,21.852276222333206,0.8524850143214244
0.652,21.756582541148877,0.8499645406752345
0.654,21.6492883457159,0.8480341788411343
0.656,21.536854226784886,0.8448851804553772
0.658,21.42029942672182,0.8426055062894368
0.66,21.30379085564745,0.8395597878185317
0.662,21.187393464956966,0.8357222001589067
0.664,21.066304287302817,0.8325963001633494
0.666,20.939908547928525,0.8296778561381059
0.668,20.818130484111798,0.8264657496372108
0.67,20.699464827192813,0.8226047481803206
0.672,20.587342703798313,0.8184926531020118
0.674,20.470273581250925,0.814869650802243
0.676,20.354715647097336,0.8118921339226126
0.678,20.240108639975716,0.8080236923921489
0.68,20.1212985699376,0.8032014470869618
0.682,20.000753956918167,0.8012441603586503
0.684,19.888391727172706,0.7980319603213608
0.686,19.769852348165102,0.795065717959165
0.688,19.653561773868947,0.7921088431609133
0.69,19.54112533885459,0.7895250147869166
0.692,19.429304078388718,0.7868290477223028
0.694,19.31869846619198,0.7843534688058529
0.696,19.205015459171424,0.7824922186521213
0.698,19.09091487560458,0.779807572374602
0.7,18.982347498796422,0.778817150776983
0.702,18.861302347967936,0.7770405898073633
0.704,18.75193617913539,0.7747861345802467
0.706,18.647846590004676,0.772249523214225
