f,t,e
0.6,23.990343760812216,0.8314254223480086
0.602,23.826754855978436,0.8294428409182752
0.604,23.658251269527,0.8262211092909086
0.606,23.48366018228223,0.8242092169174151
0.608,23.31670326225881,0.8234694133571918
0.61,23.151756754818184,0.8227560293639141
0.612,22.989514402572205,0.8212756303528275
0.614,22.820190392687042,0.8183318863222292
0.616,22.65182451389179,0.8148416634141508
0.618,22.482307019639126,0.8132295280363326
0.62,22.314537084791343,0.8102065191790796
0.622,22.151032606388107,0.8074242190610864
0.624,21.98307067347858,0.8063480576447309
0.626,21.81733835595808,0.8054544489668888
0.628,21.648459150670565,0.8034782659793713
0.63,21.478652050532563,0.8008440746897585
0.632,21.312499434836546,0.7988790483743683
0.634,21.13779269527827,0.7964975508507847
0.636,20.969278022827865,0.7957676401423307
0.638,20.800504851982005,0.7937059129138624
0.64,20.641304612227394,0.7916504251720733
0.642,20.47566969886414,0.7889929000979223
0.644,20.30340749381935,0.7863045761385884
0.646,20.138297848403134,0.7833286700980189
0.648,19.97218130649752,0.78207626306795
0.65,19.80597661475876,0.7800122813021506
0.652,19.636747380664115,0.7786028614559714
0.654,19.475647089185124,0.7766265806839696
0.656,19.308266254855592,0.773949675131924
0.658,19.150227853569824,0.7723909534790813
0.66,18.991003916912618,0.7698905085024927
0.662,18.83309151410233,0.7680213831497458
0.664,18.682580710235904,0.7654184832754071
0.666,18.52543251464959,0.7631007011484479
0.668,18.36863721977261,0.7607236621363229
0.67,18.216775382283675,0.7584043589347715
0.672,18.06248724582552,0.7574024654278219
0.674,17.914537367237106,0.7565904213768399
0.676,17.765623917447126,0.7542269086394366
0.678,17.620323765514584,0.7533720438082928
0.68,17.473335020828053,0.7527791521076332
0.682,17.33088712932785,0.7502569817707444
0.684,17.184277989476183,0.749771449737105
0.686,17.042447988445097,0.7478135210779313
0.688,16.90115232586813,0.7469793047958758
0.69,16.76063388798849,0.745967195969965
0.692,16.616655361197903,0.7442737723801024
0.694,16.48100366286573,0.7443930425060792
0.696,16.3467431701658,0.7423885973682803
0.698,16.216070118992914,0.7404739081953137
0.7,16.086788768589667,0.7383457597737383
0.702,15.956825986017387,0.737980420863856
0.704,15.827920771864694,0.7365360116695889
0.706,15.6987180193751,0.7347643892248424
0.708,15.572643688904723,0.7332558986097274
0.71,15.442550536982118,0.7323187280695075
0.712,15.323673846835877,0.7306927736462249
0.714,15.21342251005017,0.7290919249485038
0.716,15.112182835637089,0.7281284066037654
0.718,15.008948034350857,0.7270736121997516
0.72,14.910038335354875,0.7272744215182683
0.722,14.815316776078044,0.7266863672493298
0.724,14.720884540366296,0.725413645421932
0.726,14.624462746454272,0.7250833124929725
0.728,14.533625487333325,0.7245273182933238
0.73,14.43773038356302,0.7219393565210764
0.732,14.354191992618517,0.7221487483234795
0.734,14.273705547779654,0.7210456565307525
0.736,14.192646298595893,0.7207731538302351
0.738,14.106955003909373,0.7208501809237202
0.74,14.025518822619977,0.7200789042086976
0.742,13.9424489126207,0.7203410253941919
0.744,13.869047145693417,0.719795740858574
0.746,13.792424336680316,0.7189076627710033
0.748,13.716668737434043,0.7187610539840715
0.75,13.639597567230151,0.7172538728126983
0.752,13.569000811978299,0.7166700122008774
0.754,13.498990093216225,0.716297065151028
0.756,13.436457804650495,0.7166200521492382
0.758,13.368967990355994,0.7156326122653972
0.76,13.300039718769142,0.7156265740322713
0.762,13.231803569057414,0.7151336417337251
0.764,13.170587898568343,0.7158526431662623
0.766,13.104753021143036,0.715396244481721
0.768,13.04401829122535,0.7153071894475683
0.77,12.97877763744273,0.7148285672717244
0.772,12.92170347148477,0.7140682020668773
0.774,12.865769349670778,0.714171204107181
0.776,12.811407404284637,0.7131113676378464
0.778,12.756191254783756,0.7143423082177902
0.78,12.703912475156317,0.7129626722941494
0.782,12.65405932467365,0.7134283071684304
0.784,12.60228175813954,0.7125666134606241
0.786,12.550037225804338,0.7120363707463272
0.788,12.492221928061293,0.7106674842799114
0.79,12.442686610542104,0.7120501403680315
0.792,12.3926360481234,0.7115283522034528
0.794,12.34553663217002,0.7114124539845272
0.796,12.293847893086658,0.7110659644962829
0.798,12.24581998274072,0.7103840296975864
0.8,12.194100911544362,0.709812932670917
0.802,12.145991627246977,0.7092716298036139
0.804,12.09238895982347,0.7096839209443336
0.806,12.039039480401922,0.7090000532810947
0.808,11.988857056577055,0.7100988360002585
0.81,11.941847105901495,0.7104465225874562
0.812,11.89549386519272,0.7105689693479176
0.814,11.850387188315702,0.7091586624788364
0.816,11.804671416684148,0.7091467286043668
0.818,11.757768840663058,0.708388010359066
0.82,11.71473519881532,0.7097568968777953
0.822,11.669558193407838,0.7091780838503218
0.824,11.618949784664622,0.7091940670783344
0.826,11.574845488479495,0.7090878484477566
0.828,11.54095221995181,0.7095011831517095
0.83,11.50176710375473,0.7075705292570399
0.832,11.461264405244277,0.7072607172146953
0.834,11.423316381757044,0.7070092681022616
0.836,11.385683652009234,0.7071963862518801
0.838,11.35155963385068,0.7080911152288307
0.84,11.317554786553508,0.7074925717903174
0.842,11.283844948322756,0.7072096183936332
0.844,11.247817369268553,0.7073581160391526
0.846,11.217086998389268,0.705903164504693
0.848,11.187733619182392,0.7046689554241816
0.85,11.1563821803779,0.7057279026722162
0.852,11.128082915501654,0.7057045703152571
0.854,11.093729914377771,0.7068075486526907
0.856,11.070946491604783,0.7077984592882635
0.858,11.043275212767139,0.7068296734393692
0.86,11.00963653843212,0.7067126033922656
0.862,10.972365358117111,0.7073124541063803
0.864,10.942147744871736,0.7077810289100792
